frame,car_id,bbox,license_plate_bbox,license_plate_text,speed_kmh
5,3.0,"[np.float64(746.8353515258276), np.float64(1383.4213047514595), np.float64(1431.3384585915192), np.float64(2007.0068064554393)]","[967.8922119140625, 1783.9281005859375, 1191.7177734375, 1882.6552734375]",,101.94756542472207
5,5.0,"[np.float64(2194.09660696655), np.float64(1174.1965144074265), np.float64(2789.7639173699718), np.float64(1755.6259437877734)]","[2411.2822265625, 1562.439453125, 2586.25634765625, 1652.39111328125]",HU51VSU,74.67866006917409
6,3.0,"[np.float64(742.3583631576205), np.float64(1386.9289844289392), np.float64(1428.8720515650568), np.float64(2012.1055445843008)]","[958.7540283203125, 1783.9215087890625, 1185.5277099609375, 1884.35302734375]",,119.42728049464989
6,5.0,"[np.float64(2192.9393549607403), np.float64(1176.7567771855781), np.float64(2788.93368197118), np.float64(1758.4379992474494)]","[2411.54736328125, 1566.5921630859375, 2584.350830078125, 1651.2095947265625]",,61.864215150134534
7,3.0,"[np.float64(740.775205394091), np.float64(1387.7477766125685), np.float64(1428.4357568489725), np.float64(2013.754005810923)]","[958.9371337890625, 1783.8427734375, 1185.5155029296875, 1884.295166015625]",,34.43409867906623
7,5.0,"[np.float64(2192.0448670050478), np.float64(1177.3984238925248), np.float64(2788.4125646721473), np.float64(1759.2668023602284)]","[2411.728759765625, 1566.5020751953125, 2584.66552734375, 1651.2923583984375]",,22.044069689790277
8,5.0,"[np.float64(2189.1328649520956), np.float64(1176.7713134373553), np.float64(2789.446750992164), np.float64(1762.0338403893475)]","[2416.160400390625, 1575.296630859375, 2587.7529296875, 1653.528076171875]",MO51YSU,30.74773836375141
8,3.0,"[np.float64(735.620007931096), np.float64(1391.302570534382), np.float64(1422.9660616979368), np.float64(2020.2223529997386)]","[947.8174438476562, 1785.422607421875, 1193.75, 1889.37744140625]",,157.75088709532005
9,5.0,"[np.float64(2190.648394042999), np.float64(1175.7442396123129), np.float64(2792.2373002648956), np.float64(1764.4548374401093)]","[2414.810546875, 1579.6453857421875, 2589.49755859375, 1661.1383056640625]",KT53YSU,48.88158366539267
9,3.0,"[np.float64(737.1985279850519), np.float64(1396.0503962179284), np.float64(1425.6082785999251), np.float64(2026.146915074259)]","[939.8256225585938, 1790.5682373046875, 1188.2000732421875, 1892.2584228515625]",NA13NRU,123.94828378529282
